sequence,detector,reid_model,max_cosine_distance,hota,deta,assa,idf1,mota
TUD-Campus,YOLO11n,osnet_x0_5,0.30,48.294,48.359,48.454,67.218,55.710
TUD-Campus,YOLOv8n,osnet_x0_5,0.30,48.450,50.721,46.365,64.666,57.939
